year,month,zipcode,Unique_Key
2019,4,11222,250
2019,4,11223,162
2019,4,11224,89
2019,4,11225,501
2019,4,11226,653
2019,4,11228,52
2019,4,11229,215
2019,4,11230,224
2019,4,11231,127
2019,4,11232,123
2019,4,11233,330
2019,4,11234,171
2019,4,11235,233
2019,4,11236,160
2019,4,11237,523
2019,4,11238,527
2019,4,11239,45
2019,4,11249,195
2019,4,11354,125
2019,4,11355,96
2019,4,11356,73
2019,4,11357,67
2019,4,11358,72
2019,4,11360,20
2019,4,11361,37
2019,4,11362,7
2019,4,11363,10
2019,4,11364,72
2019,4,11365,98
2019,4,11366,835
2019,4,11367,65
2019,4,11368,252
2019,4,11369,76
2019,4,11370,43
2019,4,11372,234
2019,4,11373,178
2019,4,11374,163
2019,4,11375,204
2019,4,11377,238
2019,4,11378,73
2019,4,11379,48
2019,4,11385,676
2019,4,11411,68
2019,4,11412,46
2019,4,11413,43
2019,4,11414,78
2019,4,11415,64
2019,4,11416,81
2019,4,11417,118
2019,4,11418,103
2019,4,11419,611
2019,4,11420,117
2019,4,11421,157
2019,4,11422,16
2019,4,11423,77
2019,4,11426,9
2019,4,11427,22
2019,4,11428,56
2019,4,11429,15
2019,4,11432,699
2019,4,11433,93
2019,4,11434,116
2019,4,11435,224
2019,4,11436,39
2019,4,11691,195
2019,4,11692,50
2019,4,11693,27
2019,4,11694,35
2019,4,11697,1
2019,4,12345,1
2019,5,10000,37
2019,5,10001,321
2019,5,10002,558
2019,5,10003,478
2019,5,10004,20
2019,5,10005,25
2019,5,10006,33
2019,5,10007,35
2019,5,10009,637
2019,5,10010,165
2019,5,10011,319
2019,5,10012,288
2019,5,10013,312
2019,5,10014,284
2019,5,10016,347
2019,5,10017,108
2019,5,10018,97
2019,5,10019,453
2019,5,10020,1
2019,5,10021,122
2019,5,10022,149
2019,5,10023,239
2019,5,10024,438
2019,5,10025,457
2019,5,10026,748
2019,5,10027,648
2019,5,10028,173
2019,5,10029,565
2019,5,10030,391
2019,5,10031,875
2019,5,10032,1083
2019,5,10033,922
2019,5,10034,789
2019,5,10035,292
2019,5,10036,173
2019,5,10037,139
2019,5,10038,112
2019,5,10039,290
2019,5,10040,871
2019,5,10044,12
2019,5,10065,131
2019,5,10069,12
2019,5,10075,80
2019,5,10105,1
2019,5,10106,1
2019,5,10120,1
2019,5,10122,1
2019,5,10128,196
2019,5,10152,1
2019,5,10162,5
2019,5,10169,1
2019,5,10271,1
2019,5,10279,1
2019,5,10280,36
2019,5,10281,6
2019,5,10282,12
2019,5,10301,241
2019,5,10302,67
2019,5,10303,101
2019,5,10304,185
2019,5,10305,76
2019,5,10306,75
2019,5,10307,48
2019,5,10308,28
2019,5,10309,53
2019,5,10310,144
2019,5,10312,101
2019,5,10314,130
2019,5,10451,332
2019,5,10452,883
2019,5,10453,798
2019,5,10454,256
2019,5,10455,297
2019,5,10456,768
2019,5,10457,689
2019,5,10458,684
2019,5,10459,356
2019,5,10460,450
2019,5,10461,227
2019,5,10462,314
2019,5,10463,582
2019,5,10464,10
2019,5,10465,219
2019,5,10466,362
2019,5,10467,722
2019,5,10468,837
2019,5,10469,235
2019,5,10470,53
2019,5,10471,90
2019,5,10472,486
2019,5,10473,296
2019,5,10474,142
2019,5,10475,22
2019,5,11001,7
2019,5,11004,38
2019,5,11005,1
2019,5,11040,8
2019,5,11101,383
2019,5,11102,251
2019,5,11103,189
2019,5,11104,141
2019,5,11105,261
2019,5,11106,278
2019,5,11109,12
2019,5,11201,619
2019,5,11203,298
2019,5,11204,157
2019,5,11205,362
2019,5,11206,851
2019,5,11207,594
2019,5,11208,609
2019,5,11209,281
2019,5,11210,175
2019,5,11211,537
2019,5,11212,361
2019,5,11213,467
2019,5,11214,199
2019,5,11215,293
2019,5,11216,662
2019,5,11217,454
2019,5,11218,244
2019,5,11219,185
2019,5,11220,457
2019,5,11221,1080
2019,5,11222,340
2019,5,11223,201
2019,5,11224,165
