lat,lon,neighs_5,neighs_10,neighs_30
40.8095715,-73.89216391,Noise - Street/Sidewalk,Noise - Commercial,Noise - Vehicle
40.69801043,-73.80810243,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.51207531,-73.97622539,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Residential
40.78891205,-74.05039728,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.87154988,-73.83777119,Noise - Vehicle,Noise - Residential,Noise - Residential
40.54513044,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.57405368,-73.92183267,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.50794342,-73.77348888,Noise - Residential,Noise - Residential,Noise - Residential
40.5162072,-74.25313379,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.87568177,-74.11467959,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.90460501,-74.23829941,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.83849475,-74.08995562,Noise - Residential,Noise - Commercial,Noise - Commercial
40.66082341,-73.98611497,Noise - Commercial,Noise - Commercial,Noise - Helicopter
40.51207531,-74.05039728,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.59471314,-73.83777119,Noise - Residential,Noise - Residential,Noise - Residential
40.62363638,-73.96139101,Noise - Residential,Noise - Residential,Noise - Residential
40.90047312,-74.0355629,Noise - Vehicle,Noise - Vehicle,Noise - Street/Sidewalk
40.55752612,-73.81304722,Noise - Residential,Noise - Residential,Noise - Residential
40.58644936,-73.93666704,Noise - Commercial,Noise - Commercial,Noise - Residential
40.77238448,-74.14434834,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.7641207,-74.2432442,Noise - Residential,Noise - Residential,Noise - Commercial
40.62363638,-74.0355629,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.73519746,-73.94655663,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.58644936,-74.01083894,Noise - Residential,Noise - Residential,Noise - Residential
40.52033909,-73.99105977,Noise - Residential,Noise - Residential,Noise - Residential
40.66908719,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.69801043,-73.92183267,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Vehicle
40.54513044,-73.91194308,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.88394555,-74.12951397,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.84675853,-74.10479,Noise - Residential,Noise - Commercial,Noise - Helicopter
40.87568177,-74.22840982,Noise - Vehicle,Noise - Helicopter,Noise - Helicopter
40.73519746,-74.02072852,Noise - Street/Sidewalk,Noise - Commercial,Noise - Commercial
40.52033909,-74.06523166,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.54926233,-74.18885148,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.8095715,-74.08006604,Noise - Helicopter,Noise - Helicopter,Noise - Commercial
40.63190016,-73.97622539,Noise - Residential,Noise - Residential,Noise - Residential
40.51207531,-74.16412752,Noise - Commercial,Noise - Commercial,Noise - Residential
40.78064826,-73.78337847,Noise - Residential,Noise - Commercial,Noise - Residential
40.5657899,-73.8278816,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-73.95150142,Noise - Residential,Noise - Residential,Noise - Residential
40.87154988,-74.02567332,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.52860287,-73.80315764,Noise - Residential,Noise - Residential,Noise - Residential
40.89634123,-74.14434834,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.59884503,-74.22840982,Noise - Helicopter,Noise - Residential,Noise - Residential
40.66082341,-74.1740171,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.74346124,-73.96139101,Noise - Residential,Noise - Commercial,Noise - Helicopter
40.59471314,-74.02567332,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.62363638,-74.14929314,Noise - Residential,Noise - Helicopter,Noise - Residential
40.89220934,-73.76854409,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.67735097,-73.81304722,Noise - Residential,Noise - Residential,Noise - Residential
40.70627421,-73.93666704,Noise - Commercial,Noise - Residential,Noise - Commercial
40.55752612,-74.00094935,Noise - Residential,Noise - Residential,Noise - Residential
40.64016395,-73.78832326,Noise - Residential,Noise - Residential,Noise - Residential
40.66908719,-73.91194308,Noise - Street/Sidewalk,Noise - Commercial,Noise - Residential
40.71040611,-74.21357544,Noise - Residential,Noise - Residential,Noise - Residential
40.88394555,-74.2432442,Noise - Vehicle,Noise - Residential,Noise - Residential
40.75585691,-73.97622539,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.84675853,-74.21852024,Noise - Vehicle,Noise - Residential,Noise - Residential
40.70627421,-74.01083894,Noise - Residential,Noise - Commercial,Noise - Helicopter
40.73519746,-74.13445876,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.52033909,-74.17896189,Noise - Commercial,Noise - Commercial,Noise - Residential
40.81783529,-73.92183267,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.60297692,-73.9663358,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.75172502,-73.77348888,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.78064826,-73.8971087,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.5657899,-73.94161184,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.84262664,-73.84271598,Noise - Residential,Noise - Residential,Noise - Residential
40.60710881,-74.2432442,Noise - Helicopter,Noise - Residential,Noise - Residential
40.56992179,-74.21852024,Noise - Helicopter,Noise - Residential,Noise - Residential
40.86741799,-73.96139101,Noise - Street/Sidewalk,Noise - Commercial,Noise - Vehicle
40.60297692,-74.04050769,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.63190016,-74.16412752,Noise - Residential,Noise - Residential,Noise - Residential
40.714538,-73.95150142,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.5657899,-74.01578373,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-74.13940355,Noise - Residential,Noise - Residential,Noise - Residential
40.89220934,-73.88227432,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.67735097,-73.92677746,Noise - Residential,Noise - Vehicle,Noise - Vehicle
40.68148286,-74.20368586,Noise - Residential,Noise - Residential,Noise - Residential
40.72693367,-73.9663358,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.74346124,-74.14929314,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.67735097,-74.00094935,Noise - Commercial,Noise - Street/Sidewalk,Noise - Commercial
40.70627421,-74.12456917,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.7599888,-73.78832326,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.78891205,-73.91194308,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.75172502,-73.88721912,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.79304394,-74.18885148,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.57818557,-74.23335462,Noise - Helicopter,Noise - Residential,Noise - Commercial
40.72693367,-74.04050769,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.75585691,-74.16412752,Noise - Residential,Noise - Commercial,Noise - Commercial
40.54099855,-74.20863065,Noise - Helicopter,Noise - Commercial,Noise - Commercial
40.83849475,-73.95150142,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.81783529,-74.10973479,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.60297692,-74.15423793,Noise - Residential,Noise - Helicopter,Noise - Residential
40.90047312,-73.8971087,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.57405368,-73.85755036,Noise - Residential,Noise - Residential,Noise - Residential
40.8632861,-73.87238474,Noise - Residential,Noise - Residential,Noise - Residential
40.53686666,-73.83282639,Noise - Commercial,Noise - Residential,Noise - Residential
40.49967963,-73.80810243,Noise - Commercial,Noise - Residential,Noise - Residential
40.68974665,-74.21852024,Noise - Residential,Noise - Residential,Noise - Residential
40.86741799,-74.14929314,Noise - Commercial,Noise - Helicopter,Noise - Commercial
40.65255962,-74.19379627,Noise - Residential,Noise - Residential,Noise - Residential
40.714538,-74.13940355,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.58644936,-73.87238474,Noise - Residential,Noise - Residential,Noise - Residential
40.89220934,-74.07017645,Noise - Helicopter,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.67735097,-74.11467959,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.7599888,-73.90205349,Noise - Vehicle,Noise - Vehicle,Noise - Commercial
40.64842773,-73.81799202,Noise - Residential,Noise - Residential,Noise - Residential
40.61124071,-73.79326805,Noise - Residential,Noise - Residential,Noise - Residential
40.7641207,-74.17896189,Noise - Vehicle,Noise - Commercial,Noise - Residential
40.72693367,-74.15423793,Noise - Residential,Noise - Commercial,Noise - Commercial
40.8095715,-73.94161184,Noise - Residential,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.69801043,-73.85755036,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.78891205,-74.09984521,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.87154988,-73.88721912,Noise - Residential,Noise - Residential,Noise - Residential
40.54513044,-73.84766077,Noise - Commercial,Noise - Residential,Noise - Residential
40.57405368,-73.97128059,Noise - Vehicle,Noise - Residential,Noise - Residential
40.83436285,-73.86249515,Noise - Commercial,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.72280178,-73.77843367,Noise - Residential,Noise - Commercial,Noise - Residential
40.50794342,-73.82293681,Noise - Commercial,Noise - Commercial,Noise - Residential
40.87568177,-74.16412752,Noise - Helicopter,Noise - Helicopter,Noise - Commercial
40.8095715,-74.01578373,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.83849475,-74.13940355,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.51207531,-74.09984521,Noise - Commercial,Noise - Residential,Noise - Commercial
40.90047312,-74.08501083,Noise - Helicopter,Noise - Helicopter,Noise - Street/Sidewalk
40.55752612,-73.86249515,Noise - Commercial,Noise - Residential,Noise - Residential
40.58644936,-73.98611497,Noise - Residential,Noise - Residential,Noise - Residential
40.57405368,-74.04545249,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.53686666,-74.02072852,Noise - Residential,Noise - Residential,Noise - Residential
40.61950449,-73.80810243,Noise - Residential,Noise - Residential,Noise - Residential
40.64842773,-73.93172225,Noise - Residential,Noise - Residential,Noise - Residential
40.58231746,-73.78337847,Noise - Residential,Noise - Residential,Noise - Residential
40.77238448,-74.19379627,Noise - Vehicle,Noise - Residential,Noise - Residential
40.62363638,-74.08501083,Noise - Residential,Noise - Residential,Noise - Residential
40.73519746,-73.99600456,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.58644936,-74.06028687,Noise - Commercial,Noise - Commercial,Noise - Residential
40.66908719,-73.84766077,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.69801043,-73.97128059,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.7599888,-74.08995562,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.64842773,-74.00589414,Noise - Vehicle,Noise - Commercial,Noise - Commercial
40.73106556,-73.79326805,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.54513044,-73.96139101,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.69387854,-73.76854409,Noise - Commercial,Noise - Commercial,Noise - Residential
40.84675853,-74.15423793,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.8095715,-74.12951397,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.54926233,-74.23829941,Noise - Helicopter,Noise - Commercial,Noise - Commercial
40.69801043,-74.04545249,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.51207531,-74.21357544,Noise - Residential,Noise - Residential,Noise - Commercial
40.78064826,-73.83282639,Noise - Vehicle,Noise - Residential,Noise - Commercial
